targets
"{""oprNum"":""7d896a2b-469d-4cad-a7f5-e6002a4c05be"",""arr"":[{""position"":[310,800,535,811,417,1005,137,990,313,577,535,586,416,759,134,744]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""c103a40c-c2e9-4b91-8ed6-4ff7af9417d0"",""arr"":[{""position"":[677,751,866,757,852,917,622,907,681,598,869,604,858,739,622,728]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""d67629f7-1d8e-441a-b550-536eacd134ce"",""arr"":[{""position"":[1029,767,1231,771,1284,920,1047,916,1033,594,1239,597,1294,717,1050,713]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""2b1b807a-f73a-4575-a709-e6632d5541b9"",""arr"":[{""position"":[1311,728,1510,728,1630,887,1397,889,1318,545,1521,546,1644,665,1406,663]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""b376edfd-afef-4126-9df2-532b50aca78c"",""arr"":[{""position"":[1296,468,1343,510,1121,526,1112,482,1303,390,1349,428,1118,421,1111,386]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""734e96b0-6e3e-4010-9f86-1e6d507a867a"",""arr"":[{""position"":[1572,445,1584,474,1397,461,1454,431,1579,355,1588,378,1398,356,1455,334]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""7d25e45e-5f95-4a26-87ad-eefa62e116ce"",""arr"":[{""position"":[329,330,339,321,549,322,547,329,326,231,336,225,546,226,554,230]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""93f4c22b-f5ca-45cb-9c2b-459e36775b61"",""arr"":[{""position"":[7,356,-7,345,128,348,148,358,5,250,-7,243,127,245,147,250]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""7a369052-7c43-4e74-9868-5c167c7e5ce6"",""arr"":[{""position"":[823,357,829,347,1015,344,1031,357,823,287,829,280,1021,274,1033,280]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""77dccf41-f24f-491a-97c4-5f7c3ebc91bb"",""arr"":[{""position"":[1246,250,1246,250,1246,250,1246,250,1246,250,1246,250,1246,250,1246,250]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""5005a18f-1d0c-4b4a-9130-ff14844376ed"",""arr"":[{""position"":[1475,956,1646,947,1659,1044,1622,1053,1478,823,1648,819,1666,935,1625,941]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""109a6761-ad43-4bce-b727-475d80235917"",""arr"":[{""position"":[579,244,469,241,499,220,601,221,581,148,470,146,499,144,602,146]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""5dff436d-3d67-4bc6-bdc6-b6460ae66630"",""arr"":[{""position"":[376,254,434,253,468,259,460,262,376,189,433,188,468,189,460,191]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""f1960428-d7a7-4a83-9926-36262141b3ee"",""arr"":[{""position"":[141,509,145,529,10,529,5,510,142,367,146,382,8,393,5,382]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
