targets
"{""oprNum"":""2208eb5f-a286-4129-9804-5e877e00f394"",""arr"":[{""position"":[834,865,1012,873,939,1010,733,1001,833,694,1010,699,938,807,728,798]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""2432e4cd-2292-407a-9618-44ccc6e9203c"",""arr"":[{""position"":[462,902,611,909,527,1005,347,996,464,737,611,743,525,831,345,822]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""01bdc917-c540-449c-86f4-1538af275fa7"",""arr"":[{""position"":[645,748,788,755,688,863,516,855,645,629,786,633,686,723,513,715]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""b4811021-c0c4-4bd1-8ee4-be1231eb00e4"",""arr"":[{""position"":[758,640,879,644,825,716,694,713,758,528,877,529,823,586,691,586]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""844f1e21-c33a-4c0c-9290-24be859fbe10"",""arr"":[{""position"":[1452,589,1569,592,1598,634,1473,635,1455,496,1570,496,1601,527,1475,526]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""d4c3415b-5450-4ef1-b78b-8c4f6de73d37"",""arr"":[{""position"":[386,579,285,578,343,540,436,540,384,476,282,476,341,450,434,451]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""04f8dc36-3622-4250-8841-fdeb11c627eb"",""arr"":[{""position"":[1215,704,1357,710,1356,798,1188,792,1219,583,1361,586,1362,650,1190,646]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""c193081f-7f08-40f5-ae9e-f4e19e373e6a"",""arr"":[{""position"":[1524,842,1703,842,1726,945,1555,944,1528,700,1707,700,1732,793,1558,791]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""e8d3a8a4-4989-43ec-805b-1b95305a051d"",""arr"":[{""position"":[1239,564,1347,564,1355,604,1235,604,1241,464,1348,463,1356,493,1235,492]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""5aafa8ce-fae4-4f74-94c9-e72920d0f83f"",""arr"":[{""position"":[191,530,104,529,164,501,239,503,190,448,102,447,163,433,238,434]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""955493d4-78a5-4f07-b645-a07afb95ac47"",""arr"":[{""position"":[1363,476,1450,475,1473,513,1381,512,1363,404,1451,404,1474,433,1381,434]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""958655c9-6071-4d2e-9536-a138af4236a3"",""arr"":[{""position"":[481,375,363,376,385,313,498,312,481,237,362,238,383,214,498,214]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""d4c29e9c-c1ef-494a-aedd-a69ccd51da94"",""arr"":[{""position"":[1267,407,1385,407,1425,429,1306,428,1269,272,1387,272,1426,279,1308,279]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""b3b885d6-0a19-4b11-93d3-6596efc16c91"",""arr"":[{""position"":[1688,343,1534,342,1572,261,1692,261,1692,178,1536,178,1574,145,1696,146]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""a2141137-23f2-4d0c-9ce0-6f511ba3a8e5"",""arr"":[{""position"":[1168,442,1256,441,1272,466,1180,466,1168,364,1256,363,1272,383,1181,382]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""b78e8208-1a64-4398-8b17-ebf87f8f3293"",""arr"":[{""position"":[1018,502,1106,502,1119,525,1027,526,1018,425,1106,424,1119,445,1027,446]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""5092e602-ddee-49dd-a033-0a129b127754"",""arr"":[{""position"":[1157,342,1074,339,1106,306,1181,307,1159,230,1076,228,1106,208,1184,211]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""a596d1c2-df98-4f5d-aebc-90b7d977af93"",""arr"":[{""position"":[681,327,604,326,600,317,680,318,680,255,604,254,599,249,679,250]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
"{""oprNum"":""af353f5a-5517-4aa5-b0ab-4d2ba3ff8633"",""arr"":[{""position"":[628,338,535,339,537,311,632,309,628,234,535,235,537,228,632,227]}],""imgType"":1,""imgSource"":"""",""desc"":""success"",""state"":0}"
